data,titulo,fonte,polaridade,peso_impacto,categoria,resumo
2025-05-06 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Infomoney,0,0.63,financeira,Notícia sobre financeira publicada pela Infomoney.
2025-05-07 00:00:00-03:00,Processo judicial afeta projeções,Estadão,-1,0.59,produção,Notícia sobre produção publicada pela Estadão.
2025-05-08 00:00:00-03:00,Problemas técnicos em plataforma offshore,Infomoney,-1,0.25,governança,Notícia sobre governança publicada pela Infomoney.
2025-05-09 00:00:00-03:00,Novo contrato bilionário fechado,Infomoney,1,0.8,produção,Notícia sobre produção publicada pela Infomoney.
2025-05-12 00:00:00-03:00,Queda de receita surpreende analistas,Valor Econômico,-1,0.11,mercado,Notícia sobre mercado publicada pela Valor Econômico.
2025-05-12 00:00:00-03:00,Produção interrompida devido a greve,Estadão,-1,0.74,governança,Notícia sobre governança publicada pela Estadão.
2025-05-12 00:00:00-03:00,Lucro líquido supera expectativas,Valor Econômico,1,0.65,mercado,Notícia sobre mercado publicada pela Valor Econômico.
2025-05-12 00:00:00-03:00,Novo contrato bilionário fechado,Exame,1,0.69,internacional,Notícia sobre internacional publicada pela Exame.
2025-05-13 00:00:00-03:00,Licença ambiental concedida para novo campo,Estadão,1,0.66,internacional,Notícia sobre internacional publicada pela Estadão.
2025-05-13 00:00:00-03:00,Executivo comenta perspectivas do setor,Estadão,0,0.16,internacional,Notícia sobre internacional publicada pela Estadão.
2025-05-13 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Valor Econômico,0,0.39,governança,Notícia sobre governança publicada pela Valor Econômico.
2025-05-13 00:00:00-03:00,Licença ambiental concedida para novo campo,Bloomberg,1,0.67,internacional,Notícia sobre internacional publicada pela Bloomberg.
2025-05-14 00:00:00-03:00,Mercado aguarda decisão de órgão regulador,Infomoney,0,0.44,governança,Notícia sobre governança publicada pela Infomoney.
2025-05-14 00:00:00-03:00,Novo contrato bilionário fechado,Bloomberg,1,0.86,ambiental,Notícia sobre ambiental publicada pela Bloomberg.
2025-05-14 00:00:00-03:00,Expansão internacional aprovada,Valor Econômico,1,0.31,governança,Notícia sobre governança publicada pela Valor Econômico.
2025-05-15 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Estadão,0,0.57,financeira,Notícia sobre financeira publicada pela Estadão.
2025-05-15 00:00:00-03:00,Relatório trimestral divulgado ao mercado,Reuters,0,0.12,mercado,Notícia sobre mercado publicada pela Reuters.
2025-05-16 00:00:00-03:00,Processo judicial afeta projeções,Valor Econômico,-1,0.91,internacional,Notícia sobre internacional publicada pela Valor Econômico.
2025-05-19 00:00:00-03:00,Executivo comenta perspectivas do setor,Reuters,0,0.56,financeira,Notícia sobre financeira publicada pela Reuters.
2025-05-20 00:00:00-03:00,Problemas técnicos em plataforma offshore,Bloomberg,-1,0.64,ambiental,Notícia sobre ambiental publicada pela Bloomberg.
2025-05-20 00:00:00-03:00,Executivo comenta perspectivas do setor,Exame,0,0.28,financeira,Notícia sobre financeira publicada pela Exame.
2025-05-21 00:00:00-03:00,Multa milionária aplicada por órgão regulador,Infomoney,-1,0.36,mercado,Notícia sobre mercado publicada pela Infomoney.
2025-05-22 00:00:00-03:00,Empresa anuncia aumento de produção,Bloomberg,1,0.66,internacional,Notícia sobre internacional publicada pela Bloomberg.
2025-05-22 00:00:00-03:00,Queda de receita surpreende analistas,Exame,-1,0.19,internacional,Notícia sobre internacional publicada pela Exame.
2025-05-23 00:00:00-03:00,Empresa anuncia aumento de produção,Estadão,1,0.27,governança,Notícia sobre governança publicada pela Estadão.
2025-05-23 00:00:00-03:00,Licença ambiental concedida para novo campo,Reuters,1,0.59,ambiental,Notícia sobre ambiental publicada pela Reuters.
2025-05-23 00:00:00-03:00,Lucro líquido supera expectativas,Valor Econômico,1,0.91,financeira,Notícia sobre financeira publicada pela Valor Econômico.
2025-05-23 00:00:00-03:00,Mercado aguarda decisão de órgão regulador,Infomoney,0,0.2,mercado,Notícia sobre mercado publicada pela Infomoney.
2025-05-26 00:00:00-03:00,Empresa mantém guidance para o ano,Bloomberg,0,0.1,internacional,Notícia sobre internacional publicada pela Bloomberg.
2025-05-27 00:00:00-03:00,Novo contrato bilionário fechado,Valor Econômico,1,0.11,produção,Notícia sobre produção publicada pela Valor Econômico.
2025-05-28 00:00:00-03:00,Empresa mantém guidance para o ano,Bloomberg,0,0.54,produção,Notícia sobre produção publicada pela Bloomberg.
2025-05-28 00:00:00-03:00,Mercado aguarda decisão de órgão regulador,Bloomberg,0,0.34,mercado,Notícia sobre mercado publicada pela Bloomberg.
2025-05-28 00:00:00-03:00,Queda de receita surpreende analistas,Reuters,-1,0.25,ambiental,Notícia sobre ambiental publicada pela Reuters.
2025-05-28 00:00:00-03:00,Produção interrompida devido a greve,Exame,-1,0.6,governança,Notícia sobre governança publicada pela Exame.
2025-05-29 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Valor Econômico,0,0.97,mercado,Notícia sobre mercado publicada pela Valor Econômico.
2025-05-29 00:00:00-03:00,Novo contrato bilionário fechado,Reuters,1,0.33,mercado,Notícia sobre mercado publicada pela Reuters.
2025-05-29 00:00:00-03:00,Executivo comenta perspectivas do setor,Bloomberg,0,0.37,mercado,Notícia sobre mercado publicada pela Bloomberg.
2025-05-29 00:00:00-03:00,Processo judicial afeta projeções,Infomoney,-1,0.13,produção,Notícia sobre produção publicada pela Infomoney.
2025-05-30 00:00:00-03:00,Expansão internacional aprovada,Valor Econômico,1,0.47,financeira,Notícia sobre financeira publicada pela Valor Econômico.
2025-06-02 00:00:00-03:00,Queda de receita surpreende analistas,Bloomberg,-1,0.92,financeira,Notícia sobre financeira publicada pela Bloomberg.
2025-06-02 00:00:00-03:00,Problemas técnicos em plataforma offshore,Bloomberg,-1,0.23,produção,Notícia sobre produção publicada pela Bloomberg.
2025-06-02 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Exame,0,0.99,internacional,Notícia sobre internacional publicada pela Exame.
2025-06-03 00:00:00-03:00,Executivo comenta perspectivas do setor,Infomoney,0,0.17,internacional,Notícia sobre internacional publicada pela Infomoney.
2025-06-03 00:00:00-03:00,Empresa mantém guidance para o ano,Bloomberg,0,0.32,ambiental,Notícia sobre ambiental publicada pela Bloomberg.
2025-06-03 00:00:00-03:00,Expansão internacional aprovada,Valor Econômico,1,0.52,mercado,Notícia sobre mercado publicada pela Valor Econômico.
2025-06-03 00:00:00-03:00,Licença ambiental concedida para novo campo,Exame,1,0.46,mercado,Notícia sobre mercado publicada pela Exame.
2025-06-04 00:00:00-03:00,Produção interrompida devido a greve,Bloomberg,-1,0.85,financeira,Notícia sobre financeira publicada pela Bloomberg.
2025-06-04 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Valor Econômico,0,0.27,financeira,Notícia sobre financeira publicada pela Valor Econômico.
2025-06-04 00:00:00-03:00,Produção interrompida devido a greve,Infomoney,-1,0.63,mercado,Notícia sobre mercado publicada pela Infomoney.
2025-06-05 00:00:00-03:00,Produção interrompida devido a greve,Reuters,-1,0.74,produção,Notícia sobre produção publicada pela Reuters.
2025-06-05 00:00:00-03:00,Empresa anuncia aumento de produção,Reuters,1,0.41,governança,Notícia sobre governança publicada pela Reuters.
2025-06-05 00:00:00-03:00,Multa milionária aplicada por órgão regulador,Exame,-1,0.95,produção,Notícia sobre produção publicada pela Exame.
2025-06-06 00:00:00-03:00,Executivo comenta perspectivas do setor,Bloomberg,0,0.94,produção,Notícia sobre produção publicada pela Bloomberg.
2025-06-06 00:00:00-03:00,Processo judicial afeta projeções,Bloomberg,-1,0.41,internacional,Notícia sobre internacional publicada pela Bloomberg.
2025-06-06 00:00:00-03:00,Multa milionária aplicada por órgão regulador,Valor Econômico,-1,0.93,ambiental,Notícia sobre ambiental publicada pela Valor Econômico.
2025-06-06 00:00:00-03:00,Expansão internacional aprovada,Valor Econômico,1,0.33,ambiental,Notícia sobre ambiental publicada pela Valor Econômico.
2025-06-09 00:00:00-03:00,Produção interrompida devido a greve,Infomoney,-1,0.98,mercado,Notícia sobre mercado publicada pela Infomoney.
2025-06-09 00:00:00-03:00,Executivo comenta perspectivas do setor,Estadão,0,0.33,governança,Notícia sobre governança publicada pela Estadão.
2025-06-09 00:00:00-03:00,Expansão internacional aprovada,Infomoney,1,0.97,ambiental,Notícia sobre ambiental publicada pela Infomoney.
2025-06-09 00:00:00-03:00,Relatório trimestral divulgado ao mercado,Infomoney,0,0.89,internacional,Notícia sobre internacional publicada pela Infomoney.
2025-06-10 00:00:00-03:00,Relatório trimestral divulgado ao mercado,Estadão,0,0.41,mercado,Notícia sobre mercado publicada pela Estadão.
2025-06-10 00:00:00-03:00,Lucro líquido supera expectativas,Valor Econômico,1,0.91,mercado,Notícia sobre mercado publicada pela Valor Econômico.
2025-06-10 00:00:00-03:00,Licença ambiental concedida para novo campo,Bloomberg,1,0.8,produção,Notícia sobre produção publicada pela Bloomberg.
2025-06-11 00:00:00-03:00,Expansão internacional aprovada,Estadão,1,0.94,produção,Notícia sobre produção publicada pela Estadão.
2025-06-11 00:00:00-03:00,Licença ambiental concedida para novo campo,Estadão,1,0.7,governança,Notícia sobre governança publicada pela Estadão.
2025-06-11 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Estadão,0,0.44,mercado,Notícia sobre mercado publicada pela Estadão.
2025-06-11 00:00:00-03:00,Novo contrato bilionário fechado,Reuters,1,0.98,mercado,Notícia sobre mercado publicada pela Reuters.
2025-06-12 00:00:00-03:00,Multa milionária aplicada por órgão regulador,Reuters,-1,0.59,mercado,Notícia sobre mercado publicada pela Reuters.
2025-06-12 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Estadão,0,0.69,produção,Notícia sobre produção publicada pela Estadão.
2025-06-13 00:00:00-03:00,Problemas técnicos em plataforma offshore,Valor Econômico,-1,0.12,ambiental,Notícia sobre ambiental publicada pela Valor Econômico.
2025-06-16 00:00:00-03:00,Executivo comenta perspectivas do setor,Valor Econômico,0,0.77,mercado,Notícia sobre mercado publicada pela Valor Econômico.
2025-06-16 00:00:00-03:00,Executivo comenta perspectivas do setor,Estadão,0,0.86,mercado,Notícia sobre mercado publicada pela Estadão.
2025-06-17 00:00:00-03:00,Empresa mantém guidance para o ano,Exame,0,0.59,ambiental,Notícia sobre ambiental publicada pela Exame.
2025-06-18 00:00:00-03:00,Executivo comenta perspectivas do setor,Infomoney,0,0.34,internacional,Notícia sobre internacional publicada pela Infomoney.
2025-06-18 00:00:00-03:00,Multa milionária aplicada por órgão regulador,Infomoney,-1,0.98,internacional,Notícia sobre internacional publicada pela Infomoney.
2025-06-18 00:00:00-03:00,Executivo comenta perspectivas do setor,Valor Econômico,0,0.9,produção,Notícia sobre produção publicada pela Valor Econômico.
2025-06-20 00:00:00-03:00,Empresa mantém guidance para o ano,Reuters,0,0.42,produção,Notícia sobre produção publicada pela Reuters.
2025-06-20 00:00:00-03:00,Mercado aguarda decisão de órgão regulador,Bloomberg,0,0.7,internacional,Notícia sobre internacional publicada pela Bloomberg.
2025-06-20 00:00:00-03:00,Empresa anuncia aumento de produção,Exame,1,0.31,internacional,Notícia sobre internacional publicada pela Exame.
2025-06-23 00:00:00-03:00,Produção interrompida devido a greve,Bloomberg,-1,0.12,mercado,Notícia sobre mercado publicada pela Bloomberg.
2025-06-23 00:00:00-03:00,Executivo comenta perspectivas do setor,Bloomberg,0,0.26,financeira,Notícia sobre financeira publicada pela Bloomberg.
2025-06-23 00:00:00-03:00,Licença ambiental concedida para novo campo,Bloomberg,1,0.96,mercado,Notícia sobre mercado publicada pela Bloomberg.
2025-06-23 00:00:00-03:00,Empresa anuncia aumento de produção,Reuters,1,0.43,produção,Notícia sobre produção publicada pela Reuters.
2025-06-24 00:00:00-03:00,Novo contrato bilionário fechado,Infomoney,1,0.4,mercado,Notícia sobre mercado publicada pela Infomoney.
2025-06-25 00:00:00-03:00,Licença ambiental concedida para novo campo,Reuters,1,0.97,ambiental,Notícia sobre ambiental publicada pela Reuters.
2025-06-25 00:00:00-03:00,Novo contrato bilionário fechado,Bloomberg,1,0.37,produção,Notícia sobre produção publicada pela Bloomberg.
2025-06-26 00:00:00-03:00,Multa milionária aplicada por órgão regulador,Bloomberg,-1,0.34,mercado,Notícia sobre mercado publicada pela Bloomberg.
2025-06-27 00:00:00-03:00,Produção interrompida devido a greve,Infomoney,-1,0.6,ambiental,Notícia sobre ambiental publicada pela Infomoney.
2025-06-27 00:00:00-03:00,Novo contrato bilionário fechado,Bloomberg,1,0.73,financeira,Notícia sobre financeira publicada pela Bloomberg.
2025-06-27 00:00:00-03:00,Empresa mantém guidance para o ano,Valor Econômico,0,0.19,governança,Notícia sobre governança publicada pela Valor Econômico.
2025-06-30 00:00:00-03:00,Empresa mantém guidance para o ano,Exame,0,0.42,produção,Notícia sobre produção publicada pela Exame.
2025-06-30 00:00:00-03:00,Problemas técnicos em plataforma offshore,Infomoney,-1,0.37,produção,Notícia sobre produção publicada pela Infomoney.
2025-06-30 00:00:00-03:00,Empresa mantém guidance para o ano,Exame,0,0.86,ambiental,Notícia sobre ambiental publicada pela Exame.
2025-06-30 00:00:00-03:00,Produção interrompida devido a greve,Estadão,-1,0.74,mercado,Notícia sobre mercado publicada pela Estadão.
2025-07-01 00:00:00-03:00,Multa milionária aplicada por órgão regulador,Reuters,-1,0.83,financeira,Notícia sobre financeira publicada pela Reuters.
2025-07-01 00:00:00-03:00,Empresa anuncia aumento de produção,Valor Econômico,1,0.88,financeira,Notícia sobre financeira publicada pela Valor Econômico.
2025-07-01 00:00:00-03:00,Novo contrato bilionário fechado,Valor Econômico,1,0.56,governança,Notícia sobre governança publicada pela Valor Econômico.
2025-07-02 00:00:00-03:00,Empresa mantém guidance para o ano,Valor Econômico,0,0.27,mercado,Notícia sobre mercado publicada pela Valor Econômico.
2025-07-03 00:00:00-03:00,Lucro líquido supera expectativas,Valor Econômico,1,0.82,governança,Notícia sobre governança publicada pela Valor Econômico.
2025-07-03 00:00:00-03:00,Expansão internacional aprovada,Infomoney,1,0.4,financeira,Notícia sobre financeira publicada pela Infomoney.
2025-07-03 00:00:00-03:00,Empresa mantém guidance para o ano,Infomoney,0,0.18,financeira,Notícia sobre financeira publicada pela Infomoney.
2025-07-03 00:00:00-03:00,Mercado aguarda decisão de órgão regulador,Infomoney,0,0.13,mercado,Notícia sobre mercado publicada pela Infomoney.
2025-07-04 00:00:00-03:00,Multa milionária aplicada por órgão regulador,Infomoney,-1,0.98,governança,Notícia sobre governança publicada pela Infomoney.
2025-07-07 00:00:00-03:00,Relatório trimestral divulgado ao mercado,Exame,0,0.13,produção,Notícia sobre produção publicada pela Exame.
2025-07-07 00:00:00-03:00,Produção interrompida devido a greve,Infomoney,-1,0.84,mercado,Notícia sobre mercado publicada pela Infomoney.
2025-07-08 00:00:00-03:00,Mercado aguarda decisão de órgão regulador,Exame,0,0.39,produção,Notícia sobre produção publicada pela Exame.
2025-07-08 00:00:00-03:00,Lucro líquido supera expectativas,Valor Econômico,1,0.34,financeira,Notícia sobre financeira publicada pela Valor Econômico.
2025-07-09 00:00:00-03:00,Empresa mantém guidance para o ano,Infomoney,0,0.18,produção,Notícia sobre produção publicada pela Infomoney.
2025-07-09 00:00:00-03:00,Queda de receita surpreende analistas,Estadão,-1,0.58,financeira,Notícia sobre financeira publicada pela Estadão.
2025-07-09 00:00:00-03:00,Empresa mantém guidance para o ano,Reuters,0,0.67,mercado,Notícia sobre mercado publicada pela Reuters.
2025-07-09 00:00:00-03:00,Expansão internacional aprovada,Reuters,1,0.98,governança,Notícia sobre governança publicada pela Reuters.
2025-07-10 00:00:00-03:00,Empresa anuncia aumento de produção,Valor Econômico,1,0.14,governança,Notícia sobre governança publicada pela Valor Econômico.
2025-07-10 00:00:00-03:00,Empresa mantém guidance para o ano,Infomoney,0,0.49,produção,Notícia sobre produção publicada pela Infomoney.
2025-07-10 00:00:00-03:00,Expansão internacional aprovada,Infomoney,1,0.33,financeira,Notícia sobre financeira publicada pela Infomoney.
2025-07-10 00:00:00-03:00,Problemas técnicos em plataforma offshore,Reuters,-1,0.17,financeira,Notícia sobre financeira publicada pela Reuters.
2025-07-11 00:00:00-03:00,Relatório trimestral divulgado ao mercado,Infomoney,0,0.47,mercado,Notícia sobre mercado publicada pela Infomoney.
2025-07-11 00:00:00-03:00,Processo judicial afeta projeções,Reuters,-1,0.24,financeira,Notícia sobre financeira publicada pela Reuters.
2025-07-11 00:00:00-03:00,Queda de receita surpreende analistas,Bloomberg,-1,0.59,financeira,Notícia sobre financeira publicada pela Bloomberg.
2025-07-14 00:00:00-03:00,Processo judicial afeta projeções,Valor Econômico,-1,0.94,ambiental,Notícia sobre ambiental publicada pela Valor Econômico.
2025-07-14 00:00:00-03:00,Relatório trimestral divulgado ao mercado,Exame,0,0.57,governança,Notícia sobre governança publicada pela Exame.
2025-07-14 00:00:00-03:00,Relatório trimestral divulgado ao mercado,Valor Econômico,0,0.49,governança,Notícia sobre governança publicada pela Valor Econômico.
2025-07-14 00:00:00-03:00,Licença ambiental concedida para novo campo,Reuters,1,0.14,internacional,Notícia sobre internacional publicada pela Reuters.
2025-07-15 00:00:00-03:00,Empresa mantém guidance para o ano,Estadão,0,0.78,financeira,Notícia sobre financeira publicada pela Estadão.
2025-07-15 00:00:00-03:00,Multa milionária aplicada por órgão regulador,Valor Econômico,-1,0.2,internacional,Notícia sobre internacional publicada pela Valor Econômico.
2025-07-16 00:00:00-03:00,Processo judicial afeta projeções,Valor Econômico,-1,0.38,produção,Notícia sobre produção publicada pela Valor Econômico.
2025-07-17 00:00:00-03:00,Expansão internacional aprovada,Valor Econômico,1,0.53,mercado,Notícia sobre mercado publicada pela Valor Econômico.
2025-07-17 00:00:00-03:00,Queda de receita surpreende analistas,Infomoney,-1,0.54,ambiental,Notícia sobre ambiental publicada pela Infomoney.
2025-07-18 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Valor Econômico,0,0.52,governança,Notícia sobre governança publicada pela Valor Econômico.
2025-07-18 00:00:00-03:00,Relatório trimestral divulgado ao mercado,Reuters,0,0.14,ambiental,Notícia sobre ambiental publicada pela Reuters.
2025-07-18 00:00:00-03:00,Expansão internacional aprovada,Valor Econômico,1,0.9,produção,Notícia sobre produção publicada pela Valor Econômico.
2025-07-21 00:00:00-03:00,Executivo comenta perspectivas do setor,Exame,0,0.66,governança,Notícia sobre governança publicada pela Exame.
2025-07-21 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Reuters,0,0.87,produção,Notícia sobre produção publicada pela Reuters.
2025-07-21 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Exame,0,0.25,ambiental,Notícia sobre ambiental publicada pela Exame.
2025-07-21 00:00:00-03:00,Queda de receita surpreende analistas,Exame,-1,0.68,mercado,Notícia sobre mercado publicada pela Exame.
2025-07-22 00:00:00-03:00,Lucro líquido supera expectativas,Bloomberg,1,0.67,internacional,Notícia sobre internacional publicada pela Bloomberg.
2025-07-23 00:00:00-03:00,Executivo comenta perspectivas do setor,Bloomberg,0,0.45,internacional,Notícia sobre internacional publicada pela Bloomberg.
2025-07-23 00:00:00-03:00,Empresa mantém guidance para o ano,Reuters,0,0.51,mercado,Notícia sobre mercado publicada pela Reuters.
2025-07-23 00:00:00-03:00,Empresa mantém guidance para o ano,Bloomberg,0,0.95,produção,Notícia sobre produção publicada pela Bloomberg.
2025-07-23 00:00:00-03:00,Empresa mantém guidance para o ano,Reuters,0,0.97,mercado,Notícia sobre mercado publicada pela Reuters.
2025-07-24 00:00:00-03:00,Multa milionária aplicada por órgão regulador,Exame,-1,0.35,ambiental,Notícia sobre ambiental publicada pela Exame.
2025-07-24 00:00:00-03:00,Queda de receita surpreende analistas,Bloomberg,-1,0.44,ambiental,Notícia sobre ambiental publicada pela Bloomberg.
2025-07-25 00:00:00-03:00,Multa milionária aplicada por órgão regulador,Estadão,-1,0.71,mercado,Notícia sobre mercado publicada pela Estadão.
2025-07-28 00:00:00-03:00,Mercado aguarda decisão de órgão regulador,Exame,0,0.45,produção,Notícia sobre produção publicada pela Exame.
2025-07-29 00:00:00-03:00,Produção interrompida devido a greve,Estadão,-1,0.83,internacional,Notícia sobre internacional publicada pela Estadão.
2025-07-29 00:00:00-03:00,Produção interrompida devido a greve,Bloomberg,-1,0.21,financeira,Notícia sobre financeira publicada pela Bloomberg.
2025-07-30 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Estadão,0,0.94,governança,Notícia sobre governança publicada pela Estadão.
2025-07-31 00:00:00-03:00,Empresa anuncia aumento de produção,Exame,1,0.82,internacional,Notícia sobre internacional publicada pela Exame.
2025-07-31 00:00:00-03:00,Multa milionária aplicada por órgão regulador,Infomoney,-1,0.26,governança,Notícia sobre governança publicada pela Infomoney.
2025-07-31 00:00:00-03:00,Empresa anuncia aumento de produção,Exame,1,0.83,internacional,Notícia sobre internacional publicada pela Exame.
2025-07-31 00:00:00-03:00,Novo contrato bilionário fechado,Infomoney,1,0.47,governança,Notícia sobre governança publicada pela Infomoney.
2025-08-01 00:00:00-03:00,Problemas técnicos em plataforma offshore,Estadão,-1,0.62,governança,Notícia sobre governança publicada pela Estadão.
2025-08-01 00:00:00-03:00,Lucro líquido supera expectativas,Valor Econômico,1,0.61,financeira,Notícia sobre financeira publicada pela Valor Econômico.
2025-08-04 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Infomoney,0,0.78,ambiental,Notícia sobre ambiental publicada pela Infomoney.
2025-08-04 00:00:00-03:00,Expansão internacional aprovada,Infomoney,1,0.19,internacional,Notícia sobre internacional publicada pela Infomoney.
2025-08-04 00:00:00-03:00,Licença ambiental concedida para novo campo,Bloomberg,1,0.55,financeira,Notícia sobre financeira publicada pela Bloomberg.
2025-08-04 00:00:00-03:00,Lucro líquido supera expectativas,Bloomberg,1,0.39,ambiental,Notícia sobre ambiental publicada pela Bloomberg.
2025-08-05 00:00:00-03:00,Produção interrompida devido a greve,Exame,-1,0.15,governança,Notícia sobre governança publicada pela Exame.
2025-08-05 00:00:00-03:00,Licença ambiental concedida para novo campo,Bloomberg,1,0.86,ambiental,Notícia sobre ambiental publicada pela Bloomberg.
2025-08-05 00:00:00-03:00,Mercado aguarda decisão de órgão regulador,Exame,0,0.96,internacional,Notícia sobre internacional publicada pela Exame.
2025-08-06 00:00:00-03:00,Expansão internacional aprovada,Estadão,1,0.62,ambiental,Notícia sobre ambiental publicada pela Estadão.
2025-08-06 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Estadão,0,0.5,financeira,Notícia sobre financeira publicada pela Estadão.
2025-08-06 00:00:00-03:00,Processo judicial afeta projeções,Reuters,-1,0.4,internacional,Notícia sobre internacional publicada pela Reuters.
2025-08-07 00:00:00-03:00,Queda de receita surpreende analistas,Infomoney,-1,0.95,financeira,Notícia sobre financeira publicada pela Infomoney.
2025-08-07 00:00:00-03:00,Novo contrato bilionário fechado,Reuters,1,0.2,governança,Notícia sobre governança publicada pela Reuters.
2025-08-07 00:00:00-03:00,Licença ambiental concedida para novo campo,Exame,1,0.98,internacional,Notícia sobre internacional publicada pela Exame.
2025-08-08 00:00:00-03:00,Reunião de acionistas marcada para próxima semana,Valor Econômico,0,0.5,produção,Notícia sobre produção publicada pela Valor Econômico.
2025-08-08 00:00:00-03:00,Empresa anuncia aumento de produção,Valor Econômico,1,0.42,mercado,Notícia sobre mercado publicada pela Valor Econômico.
2025-08-11 00:00:00-03:00,Expansão internacional aprovada,Reuters,1,0.72,financeira,Notícia sobre financeira publicada pela Reuters.
2025-08-11 00:00:00-03:00,Expansão internacional aprovada,Infomoney,1,0.88,ambiental,Notícia sobre ambiental publicada pela Infomoney.
2025-08-12 00:00:00-03:00,Multa milionária aplicada por órgão regulador,Infomoney,-1,0.73,produção,Notícia sobre produção publicada pela Infomoney.
